"","Number","Part","Mn","Ba","Sr","Zr","Ti"
"79",4,"Shoulder",58.7,176.4,165.1,91.4,285.4
"80",4,"Shoulder",64,202.2,177.7,102.2,313.3
"81",5,"Neck",52.7,147.2,142.5,63.1,298.3
"82",5,"Neck",43.5,119.4,117,51.2,249.9
"83",5,"Neck",49.8,141.9,138.8,59.1,289.8
"84",5,"Neck",47,132.4,132.8,57,275.6
"85",5,"Neck",52.1,144.3,139.3,65.6,303.8
"86",5,"Body",50.2,149.9,143.3,74,298.2
"87",5,"Body",41.8,125.5,112.8,60.1,251.4
"88",5,"Body",48.6,145,138.1,70.9,296.5
"89",5,"Body",44.9,136.1,133.7,68.8,277.1
"90",5,"Body",51.1,150.7,140.2,79.8,312.5
"91",5,"Base",50.8,145.1,136.4,56.6,294.9
"92",5,"Base",45.2,125.9,118.8,50,252.2
"93",5,"Base",49,141.4,136,58.3,289.2
"94",5,"Base",44.6,130,131.1,56.2,267.4
"95",5,"Base",50.9,149.3,147.3,69.5,319.1
"96",5,"Shoulder",52.3,141,138.8,67.3,305.4
"97",5,"Shoulder",43.3,120.2,112.4,55.6,256
"98",5,"Shoulder",48.8,145.8,138.8,64.2,302.1
"99",5,"Shoulder",45.5,133.2,133.9,63.9,280.5
"100",5,"Shoulder",52,150.3,146.1,75.4,326.4
"101",6,"Neck",65.1,209.6,175.5,101.5,327.9
"102",6,"Neck",57.4,177.9,155.1,84,277.8
"103",6,"Neck",64.5,202.8,172.5,96.5,325.5
"104",6,"Neck",59.3,181.8,165.6,91,290.1
"105",6,"Neck",66.5,209.8,179,109.6,345.5
"106",6,"Body",66.6,194.9,172.3,81.4,310.1
"107",6,"Body",56.8,167,149.8,70.6,263.7
"108",6,"Body",62.6,193.9,170.2,81.1,313.6
"109",6,"Body",59,179.3,166.5,79.7,280.3
"110",6,"Body",67.8,204.3,182.2,91,312.7
"111",6,"Base",65.7,202.3,172.3,116.6,313
"112",6,"Base",56.6,166.1,144.5,94.2,261.9
"113",6,"Base",62.4,194.4,174.3,109.8,314.3
"114",6,"Base",57.9,185,164.1,108.5,287.9
"115",6,"Base",67.2,208.9,180.2,125.7,326.1
"116",6,"Shoulder",64.9,197.8,172.1,81.5,304.2
"117",6,"Shoulder",52.4,158.9,137.1,67.8,254.6
"118",6,"Shoulder",61.9,189.8,165.4,80.8,302.1
"119",6,"Shoulder",57.8,174.9,160.4,77.9,278.2
"120",6,"Shoulder",63.9,198.2,176.4,90.9,309.5
